Query;Method;Median(NAP)
Q1;Purohit et al.;0.533333333333333
Q2;Purohit et al.;0.611111111111111
Q3;Purohit et al.;0.611111111111111
Q4;Purohit et al.;0.533333333333333
Q5;Purohit et al.;0.433333333333333
Q6;Purohit et al.;0.333333333333333
Q7;Purohit et al.;0.566666666666667
Q8;Purohit et al.;2.23333333333333
Q9;Purohit et al.;0.466666666666667
Q10;Purohit et al.;0.533333333333333
Q11;Purohit et al.;0.611111111111111
Q12;Purohit et al.;0.711111111111111
Q13;Purohit et al.;2.23333333333333
Q14;Purohit et al.;0.766666666666667
Q15;Purohit et al.;0.566666666666667
Q16;Purohit et al.;0.466666666666667
Q17;Purohit et al.;0.333333333333333
Q18;Purohit et al.;0.533333333333333
Q19;Purohit et al.;0.466666666666667
Q20;Purohit et al.;0.766666666666667
Q21;Purohit et al.;0.333333333333333
Q22;Purohit et al.;0.766666666666667
Q23;Purohit et al.;0.833333333333333
Q24;Purohit et al.;0.466666666666667
Q25;Purohit et al.;1.16666666666667
Q26;Purohit et al.;0.566666666666667
Q27;Purohit et al.;0.566666666666667
Q28;Purohit et al.;0.466666666666667
Q29;Purohit et al.;0.766666666666667
Q30;Purohit et al.;0.611111111111111
Q31;Purohit et al.;0.566666666666667
Q32;Purohit et al.;0.566666666666667
Q33;Purohit et al.;0.711111111111111
Q34;Purohit et al.;0.611111111111111
Q35;Purohit et al.;0.611111111111111
Q36;Purohit et al.;0.711111111111111
Q37;Purohit et al.;0.611111111111111
Q38;Purohit et al.;1.36666666666667
Q39;Purohit et al.;0.533333333333333
Q40;Purohit et al.;0.711111111111111
Q41;Purohit et al.;0.711111111111111
Q42;Purohit et al.;0.711111111111111
Q43;Purohit et al.;0.566666666666667
Q44;Purohit et al.;0.711111111111111
Q45;Purohit et al.;0.566666666666667
Q46;Purohit et al.;0.833333333333333
Q47;Purohit et al.;0.533333333333333
Q48;Purohit et al.;0.533333333333333
Q49;Purohit et al.;0.833333333333333
Q50;Purohit et al.;1.36666666666667
Q51;Purohit et al.;2.23333333333333
Q52;Purohit et al.;0.611111111111111
Q53;Purohit et al.;1.16666666666667
Q54;Purohit et al.;0.766666666666667
Q55;Purohit et al.;0.711111111111111
Q56;Purohit et al.;0.711111111111111
Q57;Purohit et al.;0.533333333333333
Q58;Purohit et al.;0.433333333333333
Q59;Purohit et al.;1.36666666666667
Q60;Purohit et al.;2.23333333333333
Q61;Purohit et al.;2.3
Q62;Purohit et al.;1.36666666666667
Q63;Purohit et al.;1.46666666666667
Q64;Purohit et al.;2.3
Q65;Purohit et al.;1.46666666666667
Q66;Purohit et al.;1.46666666666667
Q67;Purohit et al.;0.466666666666667
Q68;Purohit et al.;2.23333333333333
Q69;Purohit et al.;1.16666666666667
Q70;Purohit et al.;0.333333333333333
Q71;Purohit et al.;0.533333333333333
Q72;Purohit et al.;0.711111111111111
Q73;Purohit et al.;0.711111111111111
Q74;Purohit et al.;0.711111111111111
Q75;Purohit et al.;2.23333333333333
Q76;Purohit et al.;1.56666666666667
Q77;Purohit et al.;2.3
Q78;Purohit et al.;1.5
Q79;Purohit et al.;0.866666666666667
Q80;Purohit et al.;0.611111111111111
Q81;Purohit et al.;0.866666666666667
Q82;Purohit et al.;0.733333333333333
Q83;Purohit et al.;2.233333333
Q84;Purohit et al.;2.6
Q85;Purohit et al.;2.3
Q86;Purohit et al.;2.23333333333333
Q87;Purohit et al.;2.56666666666667
Q88;Purohit et al.;2.3
Q89;Purohit et al.;0.333333333333333
Q90;Purohit et al.;0.711111111111111
Q91;Purohit et al.;0.611111111111111
Q92;Purohit et al.;0.611111111111111
Q93;Purohit et al.;0.611111111111111
Q94;Purohit et al.;0.611111111111111
Q95;Purohit et al.;0.611111111111111
Q96;Purohit et al.;0.611111111111111
Q97;Purohit et al.;0.611111111111111
Q98;Purohit et al.;0.611111111111111
Q99;Purohit et al.;0.611111111111111
Q100;Purohit et al.;0.611111111111111
