Query;Method;Median(Availability)
Q1;Purohit et al;91.5888888888889
Q2;Purohit et al;93.1777777777778
Q3;Purohit et al;93.1777777777778
Q4;Purohit et al;91.5888888888889
Q5;Purohit et al;91.5888888888889
Q6;Purohit et al;91.7222222222222
Q7;Purohit et al;92.9888888888889
Q8;Purohit et al;75.1777777777778
Q9;Purohit et al;92.7222222222222
Q10;Purohit et al;91.5888888888889
Q11;Purohit et al;93.1777777777778
Q12;Purohit et al;92.8777777777778
Q13;Purohit et al;75.1777777777778
Q14;Purohit et al;88.0777777777778
Q15;Purohit et al;92.9888888888889
Q16;Purohit et al;90.3888888888889
Q17;Purohit et al;91.7222222222222
Q18;Purohit et al;91.5888888888889
Q19;Purohit et al;92.7222222222222
Q20;Purohit et al;88.0777777777778
Q21;Purohit et al;91.7222222222222
Q22;Purohit et al;87.1666666666667
Q23;Purohit et al;86.8333333333333
Q24;Purohit et al;90.3888888888889
Q25;Purohit et al;83.9666666666667
Q26;Purohit et al;92.9888888888889
Q27;Purohit et al;92.9888888888889
Q28;Purohit et al;92.7222222222222
Q29;Purohit et al;88.4777777777778
Q30;Purohit et al;93.1777777777778
Q31;Purohit et al;91.3222222222222
Q32;Purohit et al;92.9888888888889
Q33;Purohit et al;92.8777777777778
Q34;Purohit et al;93.1777777777778
Q35;Purohit et al;93.1777777777778
Q36;Purohit et al;92.8777777777778
Q37;Purohit et al;93.1777777777778
Q38;Purohit et al;82.1666666666667
Q39;Purohit et al;91.5888888888889
Q40;Purohit et al;92.8777777777778
Q41;Purohit et al;92.8777777777778
Q42;Purohit et al;92.8777777777778
Q43;Purohit et al;92.9888888888889
Q44;Purohit et al;92.8777777777778
Q45;Purohit et al;92.9888888888889
Q46;Purohit et al;86.8333333333333
Q47;Purohit et al;91.5888888888889
Q48;Purohit et al;91.5888888888889
Q49;Purohit et al;86.8333333333333
Q50;Purohit et al;82.1666666666667
Q51;Purohit et al;74.8777777777778
Q52;Purohit et al;93.1777777777778
Q53;Purohit et al;83.9666666666667
Q54;Purohit et al;89.1444444444444
Q55;Purohit et al;92.8777777777778
Q56;Purohit et al;92.8777777777778
Q57;Purohit et al;91.5888888888889
Q58;Purohit et al;91.5888888888889
Q59;Purohit et al;82.1666666666667
Q60;Purohit et al;74.8777777777778
Q61;Purohit et al;73.1444444444444
Q62;Purohit et al;82.1666666666667
Q63;Purohit et al;80.4333333333333
Q64;Purohit et al;73.1444444444444
Q65;Purohit et al;80.4333333333333
Q66;Purohit et al;80.4333333333333
Q67;Purohit et al;92.7222222222222
Q68;Purohit et al;75.1777777777778
Q69;Purohit et al;83.9666666666667
Q70;Purohit et al;91.7222222222222
Q71;Purohit et al;91.5888888888889
Q72;Purohit et al;92.8777777777778
Q73;Purohit et al;92.8777777777778
Q74;Purohit et al;92.8777777777778
Q75;Purohit et al;75.1777777777778
Q76;Purohit et al;79.0666666666667
Q77;Purohit et al;73.1444444444444
Q78;Purohit et al;80.2333333333333
Q79;Purohit et al;86.4
Q80;Purohit et al;93.1777777777778
Q81;Purohit et al;86.3333333333333
Q82;Purohit et al;88.3777777777778
Q83;Purohit et al;75.17777778
Q84;Purohit et al;70.8777777777778
Q85;Purohit et al;73.1444444444444
Q86;Purohit et al;75.1777777777778
Q87;Purohit et al;70.8111111111111
Q88;Purohit et al;73.1444444444444
Q89;Purohit et al;91.7222222222222
Q90;Purohit et al;92.8777777777778
Q91;Purohit et al;93.1777777777778
Q92;Purohit et al;93.1777777777778
Q93;Purohit et al;93.1777777777778
Q94;Purohit et al;93.1777777777778
Q95;Purohit et al;93.1777777777778
Q96;Purohit et al;93.1777777777778
Q97;Purohit et al;93.1777777777778
Q98;Purohit et al;93.1777777777778
Q99;Purohit et al;93.1777777777778
Q100;Purohit et al;93.1777777777778
