Query;Method;Median(Reliability)
Q1;Purohit et al.;77.2777777777778
Q2;Purohit et al.;76.9
Q3;Purohit et al.;76.9
Q4;Purohit et al.;77.2777777777778
Q5;Purohit et al.;73.7
Q6;Purohit et al.;76.8777777777778
Q7;Purohit et al.;74.5666666666667
Q8;Purohit et al.;73.9666666666667
Q9;Purohit et al.;74.7666666666667
Q10;Purohit et al.;77.2777777777778
Q11;Purohit et al.;76.9
Q12;Purohit et al.;76.7
Q13;Purohit et al.;73.9666666666667
Q14;Purohit et al.;73.0333333333333
Q15;Purohit et al.;74.5666666666667
Q16;Purohit et al.;74.3666666666667
Q17;Purohit et al.;76.8777777777778
Q18;Purohit et al.;77.2777777777778
Q19;Purohit et al.;74.7666666666667
Q20;Purohit et al.;73.0333333333333
Q21;Purohit et al.;76.8777777777778
Q22;Purohit et al.;72.7
Q23;Purohit et al.;72.7
Q24;Purohit et al.;74.3666666666667
Q25;Purohit et al.;73.0666666666667
Q26;Purohit et al.;74.5666666666667
Q27;Purohit et al.;74.5666666666667
Q28;Purohit et al.;74.7666666666667
Q29;Purohit et al.;72.7
Q30;Purohit et al.;76.9
Q31;Purohit et al.;76.3444444444444
Q32;Purohit et al.;74.5666666666667
Q33;Purohit et al.;76.7
Q34;Purohit et al.;76.9
Q35;Purohit et al.;76.9
Q36;Purohit et al.;76.7
Q37;Purohit et al.;78.0111111111111
Q38;Purohit et al.;73.0666666666667
Q39;Purohit et al.;77.2777777777778
Q40;Purohit et al.;76.7
Q41;Purohit et al.;76.7
Q42;Purohit et al.;76.7
Q43;Purohit et al.;74.5666666666667
Q44;Purohit et al.;76.7
Q45;Purohit et al.;74.5666666666667
Q46;Purohit et al.;72.7
Q47;Purohit et al.;77.2777777777778
Q48;Purohit et al.;77.6111111111111
Q49;Purohit et al.;72.7
Q50;Purohit et al.;73.0666666666667
Q51;Purohit et al.;74.0333333333333
Q52;Purohit et al.;76.9
Q53;Purohit et al.;73.0666666666667
Q54;Purohit et al.;73.0333333333333
Q55;Purohit et al.;76.7
Q56;Purohit et al.;76.7
Q57;Purohit et al.;77.6111111111111
Q58;Purohit et al.;73.7
Q59;Purohit et al.;73.0666666666667
Q60;Purohit et al.;74.0333333333333
Q61;Purohit et al.;74.4333333333333
Q62;Purohit et al.;73.0666666666667
Q63;Purohit et al.;73.0666666666667
Q64;Purohit et al.;74.4333333333333
Q65;Purohit et al.;73.0666666666667
Q66;Purohit et al.;73.0666666666667
Q67;Purohit et al.;74.7666666666667
Q68;Purohit et al.;73.9666666666667
Q69;Purohit et al.;73.0666666666667
Q70;Purohit et al.;76.8777777777778
Q71;Purohit et al.;77.2777777777778
Q72;Purohit et al.;76.7
Q73;Purohit et al.;76.7
Q74;Purohit et al.;76.7
Q75;Purohit et al.;73.9666666666667
Q76;Purohit et al.;73.3
Q77;Purohit et al.;74.4333333333333
Q78;Purohit et al.;73.0666666666667
Q79;Purohit et al.;72.9
Q80;Purohit et al.;76.9
Q81;Purohit et al.;72.9
Q82;Purohit et al.;73.0333333333333
Q83;Purohit et al.;73.96666667
Q84;Purohit et al.;75.1
Q85;Purohit et al.;74.4333333333333
Q86;Purohit et al.;73.9666666666667
Q87;Purohit et al.;74.9
Q88;Purohit et al.;74.4333333333333
Q89;Purohit et al.;76.8777777777778
Q90;Purohit et al.;76.7
Q91;Purohit et al.;76.9
Q92;Purohit et al.;76.9
Q93;Purohit et al.;76.9
Q94;Purohit et al.;76.9
Q95;Purohit et al.;76.9
Q96;Purohit et al.;76.9
Q97;Purohit et al.;76.9
Q98;Purohit et al.;76.9
Q99;Purohit et al.;76.9
Q100;Purohit et al.;76.9
