Query;Method;Median(Response Time)
Q1;Daagi et al.;147.163888888889
Q2;Daagi et al.;137.401666666667
Q3;Daagi et al.;133.801666666667
Q4;Daagi et al.;151.871111111111
Q5;Daagi et al.;106.973888888889
Q6;Daagi et al.;147.863888888889
Q7;Daagi et al.;113.471666666667
Q8;Daagi et al.;100.340555555556
Q9;Daagi et al.;112.971666666667
Q10;Daagi et al.;126.601666666667
Q11;Daagi et al.;125.418333333333
Q12;Daagi et al.;133.801666666667
Q13;Daagi et al.;190.352777777778
Q14;Daagi et al.;111.871666666667
Q15;Daagi et al.;113.471666666667
Q16;Daagi et al.;105.857222222222
Q17;Daagi et al.;147.510555555556
Q18;Daagi et al.;126.601666666667
Q19;Daagi et al.;121.588333333333
Q20;Daagi et al.;104.457222222222
Q21;Daagi et al.;129.430555555556
Q22;Daagi et al.;106.676333333333
Q23;Daagi et al.;111.371666666667
Q24;Daagi et al.;120.807222222222
Q25;Daagi et al.;92.7605555555556
Q26;Daagi et al.;132.602777777778
Q27;Daagi et al.;113.471666666667
Q28;Daagi et al.;107.423888888889
Q29;Daagi et al.;103.362777777778
Q30;Daagi et al.;140.635
Q31;Daagi et al.;149.402777777778
Q32;Daagi et al.;288.289777777778
Q33;Daagi et al.;227.190555555556
Q34;Daagi et al.;223.007222222222
Q35;Daagi et al.;174.535
Q36;Daagi et al.;234.830555555556
Q37;Daagi et al.;144.785
Q38;Daagi et al.;125.288333333333
Q39;Daagi et al.;214.363888888889
Q40;Daagi et al.;231.382222222222
Q41;Daagi et al.;152.055
Q42;Daagi et al.;233.923888888889
Q43;Daagi et al.;266.098777777778
Q44;Daagi et al.;159.699444444444
Q45;Daagi et al.;266.098777777778
Q46;Daagi et al.;92.7938888888889
Q47;Daagi et al.;236.457222222222
Q48;Daagi et al.;223.490555555556
Q49;Daagi et al.;95.7383333333333
Q50;Daagi et al.;101.361666666667
Q51;Daagi et al.;127.686111111111
Q52;Daagi et al.;153.168333333333
Q53;Daagi et al.;101.361666666667
Q54;Daagi et al.;304.598777777778
Q55;Daagi et al.;227.190555555556
Q56;Daagi et al.;221.743888888889
Q57;Daagi et al.;231.363888888889
Q58;Daagi et al.;208.657222222222
Q59;Daagi et al.;101.361666666667
Q60;Daagi et al.;88.8743333333334
Q61;Daagi et al.;95.705
Q62;Daagi et al.;98.8283333333333
Q63;Daagi et al.;97.945
Q64;Daagi et al.;83.316
Q65;Daagi et al.;89.2243333333333
Q66;Daagi et al.;105.771666666667
Q67;Daagi et al.;279.594111111111
Q68;Daagi et al.;98.8561111111111
Q69;Daagi et al.;101.361666666667
Q70;Daagi et al.;296.889777777778
Q71;Daagi et al.;404.960222222222
Q72;Daagi et al.;254.765444444444
Q73;Daagi et al.;236.457222222222
Q74;Daagi et al.;153.168333333333
Q75;Daagi et al.;83.6818888888889
Q76;Daagi et al.;86.9485555555556
Q77;Daagi et al.;78.8541111111111
Q78;Daagi et al.;88.2152222222222
Q79;Daagi et al.;97.8905555555556
Q80;Daagi et al.;182.001666666667
Q81;Daagi et al.;125.288333333333
Q82;Daagi et al.;121.483888888889
Q83;Daagi et al.;97.945
Q84;Daagi et al.;74.3167777777778
Q85;Daagi et al.;80.0831111111111
Q86;Daagi et al.;80.5707777777778
Q87;Daagi et al.;73.4297777777778
Q88;Daagi et al.;77.7664444444444
Q89;Daagi et al.;236.771111111111
Q90;Daagi et al.;238.548888888889
Q91;Daagi et al.;221.743888888889
Q92;Daagi et al.;221.743888888889
Q93;Daagi et al.;221.743888888889
Q94;Daagi et al.;221.743888888889
Q95;Daagi et al.;227.363888888889
Q96;Daagi et al.;234.743888888889
Q97;Daagi et al.;221.743888888889
Q98;Daagi et al.;221.743888888889
Q99;Daagi et al.;188.632777777778
Q100;Daagi et al.;221.743888888889
