Query;Method;Median(Response Time)
Q1;Purohit et al.;121.385
Q2;Purohit et al.;139.679444444444
Q3;Purohit et al.;139.679444444444
Q4;Purohit et al.;121.385
Q5;Purohit et al.;89.3577777777778
Q6;Purohit et al.;117.935
Q7;Purohit et al.;103.038444444444
Q8;Purohit et al.;51.1063333333333
Q9;Purohit et al.;100.555111111111
Q10;Purohit et al.;121.385
Q11;Purohit et al.;139.679444444444
Q12;Purohit et al.;135.912777777778
Q13;Purohit et al.;51.1063333333333
Q14;Purohit et al.;80.3011111111111
Q15;Purohit et al.;103.038444444444
Q16;Purohit et al.;96.0397777777778
Q17;Purohit et al.;117.935
Q18;Purohit et al.;121.385
Q19;Purohit et al.;100.555111111111
Q20;Purohit et al.;80.3011111111111
Q21;Purohit et al.;117.935
Q22;Purohit et al.;72.34
Q23;Purohit et al.;65.7266666666667
Q24;Purohit et al.;96.0397777777778
Q25;Purohit et al.;59.3303333333333
Q26;Purohit et al.;103.038444444444
Q27;Purohit et al.;103.038444444444
Q28;Purohit et al.;100.555111111111
Q29;Purohit et al.;78.0344444444444
Q30;Purohit et al.;139.679444444444
Q31;Purohit et al.;110.010666666667
Q32;Purohit et al.;103.038444444444
Q33;Purohit et al.;135.912777777778
Q34;Purohit et al.;139.679444444444
Q35;Purohit et al.;139.679444444444
Q36;Purohit et al.;135.912777777778
Q37;Purohit et al.;141.790555555556
Q38;Purohit et al.;57.9103333333333
Q39;Purohit et al.;121.385
Q40;Purohit et al.;135.912777777778
Q41;Purohit et al.;135.912777777778
Q42;Purohit et al.;135.912777777778
Q43;Purohit et al.;103.038444444444
Q44;Purohit et al.;135.912777777778
Q45;Purohit et al.;103.038444444444
Q46;Purohit et al.;65.7266666666667
Q47;Purohit et al.;121.385
Q48;Purohit et al.;126.035
Q49;Purohit et al.;65.7266666666667
Q50;Purohit et al.;57.9103333333333
Q51;Purohit et al.;50.298
Q52;Purohit et al.;139.679444444444
Q53;Purohit et al.;59.3303333333333
Q54;Purohit et al.;82.7211111111111
Q55;Purohit et al.;135.912777777778
Q56;Purohit et al.;135.912777777778
Q57;Purohit et al.;126.035
Q58;Purohit et al.;89.3577777777778
Q59;Purohit et al.;57.9103333333333
Q60;Purohit et al.;50.298
Q61;Purohit et al.;49.4146666666667
Q62;Purohit et al.;57.9103333333333
Q63;Purohit et al.;56.2246666666667
Q64;Purohit et al.;49.4146666666667
Q65;Purohit et al.;56.2246666666667
Q66;Purohit et al.;56.2246666666667
Q67;Purohit et al.;100.555111111111
Q68;Purohit et al.;51.1063333333333
Q69;Purohit et al.;59.3303333333333
Q70;Purohit et al.;117.935
Q71;Purohit et al.;121.385
Q72;Purohit et al.;135.912777777778
Q73;Purohit et al.;135.912777777778
Q74;Purohit et al.;135.912777777778
Q75;Purohit et al.;51.1063333333333
Q76;Purohit et al.;54.8563333333333
Q77;Purohit et al.;49.4146666666667
Q78;Purohit et al.;55.7613333333333
Q79;Purohit et al.;61.6886666666667
Q80;Purohit et al.;139.679444444444
Q81;Purohit et al.;64.4886666666667
Q82;Purohit et al.;78.7511111111111
Q83;Purohit et al.;51.10633333
Q84;Purohit et al.;47.9296666666667
Q85;Purohit et al.;49.4146666666667
Q86;Purohit et al.;51.1063333333333
Q87;Purohit et al.;48.3213333333333
Q88;Purohit et al.;49.4146666666667
Q89;Purohit et al.;117.935
Q90;Purohit et al.;135.912777777778
Q91;Purohit et al.;139.679444444444
Q92;Purohit et al.;139.679444444444
Q93;Purohit et al.;139.679444444444
Q94;Purohit et al.;139.679444444444
Q95;Purohit et al.;139.679444444444
Q96;Purohit et al.;139.679444444444
Q97;Purohit et al.;139.679444444444
Q98;Purohit et al.;139.679444444444
Q99;Purohit et al.;139.679444444444
Q100;Purohit et al.;139.679444444444
