Query;Method;Median(Severity)
Q1;Purohit et al.;0.283926204535321
Q2;Purohit et al.;0.434468469648601
Q3;Purohit et al.;0.434468469648601
Q4;Purohit et al.;0.283926204535321
Q5;Purohit et al.;0.180163258446695
Q6;Purohit et al.;0.200231529330616
Q7;Purohit et al.;0.29420624270177
Q8;Purohit et al.;1.23420448656209
Q9;Purohit et al.;0.19351193954454
Q10;Purohit et al.;0.283926204535321
Q11;Purohit et al.;0.434468469648601
Q12;Purohit et al.;0.535162772805831
Q13;Purohit et al.;1.23420448656209
Q14;Purohit et al.;0.325065425165887
Q15;Purohit et al.;0.29420624270177
Q16;Purohit et al.;0.19675856437135
Q17;Purohit et al.;0.200231529330616
Q18;Purohit et al.;0.283926204535321
Q19;Purohit et al.;0.19351193954454
Q20;Purohit et al.;0.325065425165887
Q21;Purohit et al.;0.200231529330616
Q22;Purohit et al.;0.32520156424183
Q23;Purohit et al.;0.416404087862963
Q24;Purohit et al.;0.19675856437135
Q25;Purohit et al.;0.699129244280528
Q26;Purohit et al.;0.29420624270177
Q27;Purohit et al.;0.29420624270177
Q28;Purohit et al.;0.19351193954454
Q29;Purohit et al.;0.325065425165887
Q30;Purohit et al.;0.434468469648601
Q31;Purohit et al.;0.29420624270177
Q32;Purohit et al.;0.29420624270177
Q33;Purohit et al.;0.535162772805831
Q34;Purohit et al.;0.434468469648601
Q35;Purohit et al.;0.434468469648601
Q36;Purohit et al.;0.535162772805831
Q37;Purohit et al.;0.434468469648601
Q38;Purohit et al.;0.732934307538622
Q39;Purohit et al.;0.283926204535321
Q40;Purohit et al.;0.535162772805831
Q41;Purohit et al.;0.535162772805831
Q42;Purohit et al.;0.535162772805831
Q43;Purohit et al.;0.29420624270177
Q44;Purohit et al.;0.535162772805831
Q45;Purohit et al.;0.29420624270177
Q46;Purohit et al.;0.416404087862963
Q47;Purohit et al.;0.283926204535321
Q48;Purohit et al.;0.354543201954722
Q49;Purohit et al.;0.416404087862963
Q50;Purohit et al.;0.732934307538622
Q51;Purohit et al.;1.28255157865599
Q52;Purohit et al.;0.434468469648601
Q53;Purohit et al.;0.699129244280528
Q54;Purohit et al.;0.325065425165887
Q55;Purohit et al.;0.535162772805831
Q56;Purohit et al.;0.535162772805831
Q57;Purohit et al.;0.354543201954722
Q58;Purohit et al.;0.180163258446695
Q59;Purohit et al.;0.732934307538622
Q60;Purohit et al.;1.28255157865599
Q61;Purohit et al.;1.30456265067643
Q62;Purohit et al.;0.732934307538622
Q63;Purohit et al.;0.734380640217779
Q64;Purohit et al.;1.30456265067643
Q65;Purohit et al.;0.734380640217779
Q66;Purohit et al.;0.734380640217779
Q67;Purohit et al.;0.19351193954454
Q68;Purohit et al.;1.23420448656209
Q69;Purohit et al.;0.699129244280528
Q70;Purohit et al.;0.200231529330616
Q71;Purohit et al.;0.283926204535321
Q72;Purohit et al.;0.535162772805831
Q73;Purohit et al.;0.535162772805831
Q74;Purohit et al.;0.535162772805831
Q75;Purohit et al.;1.23420448656209
Q76;Purohit et al.;0.763904582907096
Q77;Purohit et al.;1.30456265067643
Q78;Purohit et al.;0.829347825502041
Q79;Purohit et al.;0.427409623873183
Q80;Purohit et al.;0.434468469648601
Q81;Purohit et al.;0.427409623873183
Q82;Purohit et al.;0.317161454368817
Q83;Purohit et al.;1.234204487
Q84;Purohit et al.;1.57060311765507
Q85;Purohit et al.;1.30456265067643
Q86;Purohit et al.;1.23420448656209
Q87;Purohit et al.;1.55926508799292
Q88;Purohit et al.;1.30456265067643
Q89;Purohit et al.;0.200231529330616
Q90;Purohit et al.;0.535162772805831
Q91;Purohit et al.;0.434468469648601
Q92;Purohit et al.;0.434468469648601
Q93;Purohit et al.;0.434468469648601
Q94;Purohit et al.;0.434468469648601
Q95;Purohit et al.;0.434468469648601
Q96;Purohit et al.;0.434468469648601
Q97;Purohit et al.;0.434468469648601
Q98;Purohit et al.;0.434468469648601
Q99;Purohit et al.;0.434468469648601
Q100;Purohit et al.;0.434468469648601
