Query;Method;Median(Successability)
Q1;Daagi et al.;97.2444444444445
Q2;Daagi et al.;91.6888888888889
Q3;Daagi et al.;90.6222222222222
Q4;Daagi et al.;88.5222222222222
Q5;Daagi et al.;98.8
Q6;Daagi et al.;97.3444444444444
Q7;Daagi et al.;91.3888888888889
Q8;Daagi et al.;91.5222222222222
Q9;Daagi et al.;91.9222222222222
Q10;Daagi et al.;90.1888888888889
Q11;Daagi et al.;91.6888888888889
Q12;Daagi et al.;90.6222222222222
Q13;Daagi et al.;86.6333333333333
Q14;Daagi et al.;90.9555555555556
Q15;Daagi et al.;91.3888888888889
Q16;Daagi et al.;98.3
Q17;Daagi et al.;97.0777777777778
Q18;Daagi et al.;90.1888888888889
Q19;Daagi et al.;89.8888888888889
Q20;Daagi et al.;93.9666666666667
Q21;Daagi et al.;95.0333333333333
Q22;Daagi et al.;90.7888888888889
Q23;Daagi et al.;91.4888888888889
Q24;Daagi et al.;99.3333333333333
Q25;Daagi et al.;99.2666666666667
Q26;Daagi et al.;94.9222222222222
Q27;Daagi et al.;91.3888888888889
Q28;Daagi et al.;97.0666666666667
Q29;Daagi et al.;93.3222222222222
Q30;Daagi et al.;90.3555555555556
Q31;Daagi et al.;95.0333333333333
Q32;Daagi et al.;99.1777777777778
Q33;Daagi et al.;97.8444444444444
Q34;Daagi et al.;98.9111111111111
Q35;Daagi et al.;92.1555555555556
Q36;Daagi et al.;97.2444444444445
Q37;Daagi et al.;92.0555555555556
Q38;Daagi et al.;99.2333333333333
Q39;Daagi et al.;95.0333333333333
Q40;Daagi et al.;97.3111111111111
Q41;Daagi et al.;91.9222222222222
Q42;Daagi et al.;98.8444444444444
Q43;Daagi et al.;99.3111111111111
Q44;Daagi et al.;93.8666666666667
Q45;Daagi et al.;99.3111111111111
Q46;Daagi et al.;98.7333333333333
Q47;Daagi et al.;99.3444444444444
Q48;Daagi et al.;99.4111111111111
Q49;Daagi et al.;98.7333333333333
Q50;Daagi et al.;99.2333333333333
Q51;Daagi et al.;99.4888888888889
Q52;Daagi et al.;90.9888888888889
Q53;Daagi et al.;99.2333333333333
Q54;Daagi et al.;99.2777777777778
Q55;Daagi et al.;97.8444444444444
Q56;Daagi et al.;94.9333333333333
Q57;Daagi et al.;97.3111111111111
Q58;Daagi et al.;98.8
Q59;Daagi et al.;99.2333333333333
Q60;Daagi et al.;98.5666666666667
Q61;Daagi et al.;98.7888888888889
Q62;Daagi et al.;98.7333333333333
Q63;Daagi et al.;99.2
Q64;Daagi et al.;98.6
Q65;Daagi et al.;98.7
Q66;Daagi et al.;99.1333333333333
Q67;Daagi et al.;99.2444444444445
Q68;Daagi et al.;99.3111111111111
Q69;Daagi et al.;99.2333333333333
Q70;Daagi et al.;99.3444444444444
Q71;Daagi et al.;22.8111111111111
Q72;Daagi et al.;99.2
Q73;Daagi et al.;99.3444444444444
Q74;Daagi et al.;90.9888888888889
Q75;Daagi et al.;97.9333333333333
Q76;Daagi et al.;97
Q77;Daagi et al.;97.9777777777778
Q78;Daagi et al.;97
Q79;Daagi et al.;93.8
Q80;Daagi et al.;91.9888888888889
Q81;Daagi et al.;99.2333333333333
Q82;Daagi et al.;99.3
Q83;Daagi et al.;99.2
Q84;Daagi et al.;99.1111111111111
Q85;Daagi et al.;99.0777777777778
Q86;Daagi et al.;98.0444444444444
Q87;Daagi et al.;98.8111111111111
Q88;Daagi et al.;98.4777777777778
Q89;Daagi et al.;98.7
Q90;Daagi et al.;98.8111111111111
Q91;Daagi et al.;94.9333333333333
Q92;Daagi et al.;94.9333333333333
Q93;Daagi et al.;94.9333333333333
Q94;Daagi et al.;94.9333333333333
Q95;Daagi et al.;96.8111111111111
Q96;Daagi et al.;96.7111111111111
Q97;Daagi et al.;94.9333333333333
Q98;Daagi et al.;94.9333333333333
Q99;Daagi et al.;94.9333333333333
Q100;Daagi et al.;94.9333333333333
