Query;Method;Median(Successability)
Q1;Purohit et al.;94.4222222222222
Q2;Purohit et al.;96.4666666666667
Q3;Purohit et al.;96.4666666666667
Q4;Purohit et al.;94.4222222222222
Q5;Purohit et al.;93.8333333333333
Q6;Purohit et al.;94.4888888888889
Q7;Purohit et al.;95.6666666666667
Q8;Purohit et al.;75.8555555555556
Q9;Purohit et al.;95.2
Q10;Purohit et al.;94.4222222222222
Q11;Purohit et al.;96.4666666666667
Q12;Purohit et al.;96.3333333333333
Q13;Purohit et al.;75.8555555555556
Q14;Purohit et al.;90.2555555555555
Q15;Purohit et al.;95.6666666666667
Q16;Purohit et al.;92.7333333333333
Q17;Purohit et al.;94.4888888888889
Q18;Purohit et al.;94.4222222222222
Q19;Purohit et al.;95.2
Q20;Purohit et al.;90.2555555555555
Q21;Purohit et al.;94.4888888888889
Q22;Purohit et al.;89.3111111111111
Q23;Purohit et al.;88.6444444444444
Q24;Purohit et al.;92.7333333333333
Q25;Purohit et al.;85.2111111111111
Q26;Purohit et al.;95.6666666666667
Q27;Purohit et al.;95.6666666666667
Q28;Purohit et al.;95.2
Q29;Purohit et al.;90.7222222222222
Q30;Purohit et al.;96.4666666666667
Q31;Purohit et al.;93.8888888888889
Q32;Purohit et al.;95.6666666666667
Q33;Purohit et al.;96.3333333333333
Q34;Purohit et al.;96.4666666666667
Q35;Purohit et al.;96.4666666666667
Q36;Purohit et al.;96.3333333333333
Q37;Purohit et al.;96.4666666666667
Q38;Purohit et al.;83.3444444444444
Q39;Purohit et al.;94.4222222222222
Q40;Purohit et al.;96.3333333333333
Q41;Purohit et al.;96.3333333333333
Q42;Purohit et al.;96.3333333333333
Q43;Purohit et al.;95.6666666666667
Q44;Purohit et al.;96.3333333333333
Q45;Purohit et al.;95.6666666666667
Q46;Purohit et al.;88.6444444444444
Q47;Purohit et al.;94.4222222222222
Q48;Purohit et al.;94.7222222222222
Q49;Purohit et al.;88.6444444444444
Q50;Purohit et al.;83.3444444444444
Q51;Purohit et al.;75.5555555555556
Q52;Purohit et al.;96.4666666666667
Q53;Purohit et al.;85.2111111111111
Q54;Purohit et al.;91.3888888888889
Q55;Purohit et al.;96.3333333333333
Q56;Purohit et al.;96.3333333333333
Q57;Purohit et al.;94.7222222222222
Q58;Purohit et al.;93.8333333333333
Q59;Purohit et al.;83.3444444444444
Q60;Purohit et al.;75.5555555555556
Q61;Purohit et al.;73.6888888888889
Q62;Purohit et al.;83.3444444444444
Q63;Purohit et al.;81.5111111111111
Q64;Purohit et al.;73.6888888888889
Q65;Purohit et al.;81.5111111111111
Q66;Purohit et al.;81.5111111111111
Q67;Purohit et al.;95.2
Q68;Purohit et al.;75.8555555555556
Q69;Purohit et al.;85.2111111111111
Q70;Purohit et al.;94.4888888888889
Q71;Purohit et al.;94.4222222222222
Q72;Purohit et al.;96.3333333333333
Q73;Purohit et al.;96.3333333333333
Q74;Purohit et al.;96.3333333333333
Q75;Purohit et al.;75.8555555555556
Q76;Purohit et al.;80.0777777777778
Q77;Purohit et al.;73.6888888888889
Q78;Purohit et al.;81.4444444444444
Q79;Purohit et al.;87.8777777777778
Q80;Purohit et al.;96.4666666666667
Q81;Purohit et al.;87.8777777777778
Q82;Purohit et al.;90.6555555555556
Q83;Purohit et al.;75.85555556
Q84;Purohit et al.;71.3222222222222
Q85;Purohit et al.;73.6888888888889
Q86;Purohit et al.;75.8555555555556
Q87;Purohit et al.;71.3222222222222
Q88;Purohit et al.;73.6888888888889
Q89;Purohit et al.;94.4888888888889
Q90;Purohit et al.;96.3333333333333
Q91;Purohit et al.;96.4666666666667
Q92;Purohit et al.;96.4666666666667
Q93;Purohit et al.;96.4666666666667
Q94;Purohit et al.;96.4666666666667
Q95;Purohit et al.;96.4666666666667
Q96;Purohit et al.;96.4666666666667
Q97;Purohit et al.;96.4666666666667
Q98;Purohit et al.;96.4666666666667
Q99;Purohit et al.;96.4666666666667
Q100;Purohit et al.;96.4666666666667
