Query;Method;Median(Throughput)
Q1;Purohit et al.;31.9866666666667
Q2;Purohit et al.;32.45
Q3;Purohit et al.;32.45
Q4;Purohit et al.;31.9866666666667
Q5;Purohit et al.;28.8622222222222
Q6;Purohit et al.;31.8266666666667
Q7;Purohit et al.;30.6288888888889
Q8;Purohit et al.;17.0444444444444
Q9;Purohit et al.;30.4488888888889
Q10;Purohit et al.;31.9866666666667
Q11;Purohit et al.;32.45
Q12;Purohit et al.;32.4133333333333
Q13;Purohit et al.;17.0444444444444
Q14;Purohit et al.;27.2666666666667
Q15;Purohit et al.;30.6288888888889
Q16;Purohit et al.;29.9355555555556
Q17;Purohit et al.;31.8266666666667
Q18;Purohit et al.;31.9866666666667
Q19;Purohit et al.;30.4488888888889
Q20;Purohit et al.;27.2666666666667
Q21;Purohit et al.;31.8266666666667
Q22;Purohit et al.;24.6888888888889
Q23;Purohit et al.;23.1222222222222
Q24;Purohit et al.;29.9355555555556
Q25;Purohit et al.;20.8155555555556
Q26;Purohit et al.;30.6288888888889
Q27;Purohit et al.;30.6288888888889
Q28;Purohit et al.;30.4488888888889
Q29;Purohit et al.;26.7533333333333
Q30;Purohit et al.;32.45
Q31;Purohit et al.;31.2733333333333
Q32;Purohit et al.;30.6288888888889
Q33;Purohit et al.;32.4133333333333
Q34;Purohit et al.;32.45
Q35;Purohit et al.;32.45
Q36;Purohit et al.;32.4133333333333
Q37;Purohit et al.;32.4611111111111
Q38;Purohit et al.;20.4822222222222
Q39;Purohit et al.;31.9866666666667
Q40;Purohit et al.;32.4133333333333
Q41;Purohit et al.;32.4133333333333
Q42;Purohit et al.;32.4133333333333
Q43;Purohit et al.;30.6288888888889
Q44;Purohit et al.;32.4133333333333
Q45;Purohit et al.;30.6288888888889
Q46;Purohit et al.;23.1222222222222
Q47;Purohit et al.;31.9866666666667
Q48;Purohit et al.;32.0933333333333
Q49;Purohit et al.;23.1222222222222
Q50;Purohit et al.;20.4822222222222
Q51;Purohit et al.;16.6477777777778
Q52;Purohit et al.;32.45
Q53;Purohit et al.;20.8155555555556
Q54;Purohit et al.;27.64
Q55;Purohit et al.;32.4133333333333
Q56;Purohit et al.;32.4133333333333
Q57;Purohit et al.;32.0933333333333
Q58;Purohit et al.;28.8622222222222
Q59;Purohit et al.;20.4822222222222
Q60;Purohit et al.;16.6477777777778
Q61;Purohit et al.;15.8277777777778
Q62;Purohit et al.;20.4822222222222
Q63;Purohit et al.;19.6255555555556
Q64;Purohit et al.;15.8277777777778
Q65;Purohit et al.;19.6255555555556
Q66;Purohit et al.;19.6255555555556
Q67;Purohit et al.;30.4488888888889
Q68;Purohit et al.;17.0444444444444
Q69;Purohit et al.;20.8155555555556
Q70;Purohit et al.;31.8266666666667
Q71;Purohit et al.;31.9866666666667
Q72;Purohit et al.;32.4133333333333
Q73;Purohit et al.;32.4133333333333
Q74;Purohit et al.;32.4133333333333
Q75;Purohit et al.;17.0444444444444
Q76;Purohit et al.;19.0888888888889
Q77;Purohit et al.;15.8277777777778
Q78;Purohit et al.;19.3722222222222
Q79;Purohit et al.;21.5288888888889
Q80;Purohit et al.;32.45
Q81;Purohit et al.;22.8822222222222
Q82;Purohit et al.;27.0166666666667
Q83;Purohit et al.;17.04444444
Q84;Purohit et al.;13.6977777777778
Q85;Purohit et al.;15.8277777777778
Q86;Purohit et al.;17.0444444444444
Q87;Purohit et al.;14.4911111111111
Q88;Purohit et al.;15.8277777777778
Q89;Purohit et al.;31.8266666666667
Q90;Purohit et al.;32.4133333333333
Q91;Purohit et al.;32.45
Q92;Purohit et al.;32.45
Q93;Purohit et al.;32.45
Q94;Purohit et al.;32.45
Q95;Purohit et al.;32.45
Q96;Purohit et al.;32.45
Q97;Purohit et al.;32.45
Q98;Purohit et al.;32.45
Q99;Purohit et al.;32.45
Q100;Purohit et al.;32.45
