Query,Response Time,Availability,Throughput,Successability,Reliability,Multiservice,Nanoservice,DataService,ChattyService,AmbigousService
1,0.030,0.194,0.129,0.475,0.172,0.2,0.2,0.2,0.2,0.2
2,0.018,0.324,0.388,0.171,0.100,0.2,0.2,0.2,0.2,0.2
3,0.019,0.093,0.429,0.118,0.340,0.2,0.2,0.2,0.2,0.2
4,0.041,0.014,0.146,0.158,0.641,0.2,0.2,0.2,0.2,0.2
5,0.128,0.614,0.080,0.012,0.166,0.2,0.2,0.2,0.2,0.2
6,0.062,0.700,0.155,0.078,0.006,0.2,0.2,0.2,0.2,0.2
7,0.199,0.270,0.325,0.032,0.174,0.2,0.2,0.2,0.2,0.2
8,0.432,0.060,0.039,0.099,0.369,0.2,0.2,0.2,0.2,0.2
9,0.263,0.422,0.256,0.002,0.058,0.2,0.2,0.2,0.2,0.2
10,0.105,0.162,0.320,0.069,0.343,0.2,0.2,0.2,0.2,0.2
11,0.021,0.351,0.399,0.190,0.038,0.2,0.2,0.2,0.2,0.2
12,0.058,0.021,0.511,0.212,0.198,0.2,0.2,0.2,0.2,0.2
13,0.090,0.033,0.009,0.105,0.763,0.2,0.2,0.2,0.2,0.2
14,0.430,0.039,0.189,0.132,0.209,0.2,0.2,0.2,0.2,0.2
15,0.157,0.241,0.272,0.096,0.234,0.2,0.2,0.2,0.2,0.2
16,0.120,0.430,0.092,0.192,0.165,0.2,0.2,0.2,0.2,0.2
17,0.060,0.017,0.157,0.649,0.116,0.2,0.2,0.2,0.2,0.2
18,0.121,0.024,0.572,0.049,0.233,0.2,0.2,0.2,0.2,0.2
19,0.170,0.099,0.169,0.145,0.417,0.2,0.2,0.2,0.2,0.2
20,0.272,0.167,0.116,0.219,0.226,0.2,0.2,0.2,0.2,0.2
21,0.081,0.423,0.174,0.183,0.140,0.2,0.2,0.2,0.2,0.2
22,0.597,0.040,0.208,0.121,0.034,0.2,0.2,0.2,0.2,0.2
23,0.202,0.461,0.051,0.146,0.140,0.2,0.2,0.2,0.2,0.2
24,0.064,0.115,0.052,0.636,0.134,0.2,0.2,0.2,0.2,0.2
25,0.233,0.011,0.047,0.656,0.053,0.2,0.2,0.2,0.2,0.2
26,0.106,0.435,0.128,0.050,0.282,0.2,0.2,0.2,0.2,0.2
27,0.197,0.135,0.279,0.184,0.205,0.2,0.2,0.2,0.2,0.2
28,0.152,0.212,0.146,0.381,0.109,0.2,0.2,0.2,0.2,0.2
29,0.237,0.105,0.085,0.210,0.362,0.2,0.2,0.2,0.2,0.2
30,0.016,0.044,0.334,0.130,0.476,0.2,0.2,0.2,0.2,0.2
31,0.073,0.232,0.136,0.304,0.255,0.2,0.2,0.2,0.2,0.2
32,0.016,0.164,0.018,0.364,0.438,0.2,0.2,0.2,0.2,0.2
33,0.008,0.329,0.080,0.258,0.325,0.2,0.2,0.2,0.2,0.2
34,0.005,0.306,0.080,0.319,0.290,0.2,0.2,0.2,0.2,0.2
35,0.005,0.257,0.186,0.250,0.302,0.2,0.2,0.2,0.2,0.2
36,0.010,0.218,0.094,0.346,0.332,0.2,0.2,0.2,0.2,0.2
37,0.003,0.252,0.238,0.252,0.255,0.2,0.2,0.2,0.2,0.2
38,0.108,0.201,0.018,0.332,0.341,0.2,0.2,0.2,0.2,0.2
39,0.032,0.242,0.110,0.284,0.333,0.2,0.2,0.2,0.2,0.2
40,0.006,0.152,0.058,0.353,0.431,0.2,0.2,0.2,0.2,0.2
41,0.020,0.171,0.174,0.292,0.343,0.2,0.2,0.2,0.2,0.2
42,0.009,0.122,0.057,0.435,0.378,0.2,0.2,0.2,0.2,0.2
43,0.014,0.255,0.018,0.314,0.400,0.2,0.2,0.2,0.2,0.2
44,0.025,0.153,0.156,0.321,0.344,0.2,0.2,0.2,0.2,0.2
45,0.012,0.278,0.020,0.308,0.382,0.2,0.2,0.2,0.2,0.2
46,0.169,0.186,0.048,0.309,0.287,0.2,0.2,0.2,0.2,0.2
47,0.007,0.265,0.032,0.388,0.308,0.2,0.2,0.2,0.2,0.2
48,0.011,0.235,0.066,0.435,0.253,0.2,0.2,0.2,0.2,0.2
49,0.150,0.210,0.042,0.290,0.307,0.2,0.2,0.2,0.2,0.2
50,0.121,0.176,0.019,0.341,0.343,0.2,0.2,0.2,0.2,0.2
51,0.120,0.208,0.008,0.332,0.332,0.2,0.2,0.2,0.2,0.2
52,0.006,0.094,0.250,0.274,0.376,0.2,0.2,0.2,0.2,0.2
53,0.137,0.198,0.029,0.320,0.316,0.2,0.2,0.2,0.2,0.2
54,0.010,0.354,0.006,0.281,0.349,0.2,0.2,0.2,0.2,0.2
55,0.011,0.325,0.078,0.275,0.311,0.2,0.2,0.2,0.2,0.2
56,0.010,0.091,0.099,0.432,0.367,0.2,0.2,0.2,0.2,0.2
57,0.016,0.224,0.089,0.332,0.339,0.2,0.2,0.2,0.2,0.2
58,0.074,0.209,0.046,0.313,0.358,0.2,0.2,0.2,0.2,0.2
59,0.146,0.194,0.025,0.323,0.312,0.2,0.2,0.2,0.2,0.2
60,0.263,0.131,0.018,0.280,0.308,0.2,0.2,0.2,0.2,0.2
61,0.200,0.075,0.008,0.319,0.398,0.2,0.2,0.2,0.2,0.2
62,0.168,0.197,0.031,0.280,0.323,0.2,0.2,0.2,0.2,0.2
